title,audio_file_id,genre,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
Kembang Mas,T5424R43,Gamelan,10,3,6,8,11,11,0,0,2,11,6,11,6,3,3,11,8,11,1,5,2,0,11,9,5,11,0,7,5,5,11,11,11,8,8,5,8
Kekawin,T5424R41,Kakawin; court music; mythical song,10,11,11,8,11,11,11,11,11,8,0,11,11,11,3,11,11,11,8,8,8,11,11,9,8,11,0,11,11,11,11,2,9,11,11,5,8
Ganda Pura,T5424R44,Dance song; opera; gamelan,3,9,6,5,8,5,0,0,2,5,6,9,6,3,3,9,2,3,11,5,2,11,2,1,0,0,0,7,0,5,0,2,9,8,8,11,5
Kechak,T5424R42,Epic song; animal song; heroic song,0,0,0,5,5,0,0,0,0,0,6,3,6,3,11,0,8,0,11,8,5,11,0,0,0,0,0,3,0,0,5,5,6,8,11,2,8
Kalaian ,T5422R19,Epic song,10,4,10,8,11,11,8,11,11,11,0,11,1,11,3,11,5,11,3,2,8,11,2,1,8,0,0,0,5,5,11,5,6,8,8,5,8
Maulud Koran,T5422R20,Quranic text,9,11,11,8,11,11,11,11,11,11,0,11,11,11,3,11,11,11,11,5,8,11,11,9,5,11,0,7,11,11,11,5,4,8,5,5,8
Kasi Lasa; Manuk Manuk,T5422R18,Love song,10,10,10,8,11,11,8,11,11,11,1,11,6,11,3,2,11,1,8,5,2,11,2,7,5,7,0,0,5,11,0,5,9,8,8,2,8
Rice Song,T5422R33,Harvest song; spirit song; rice song; agricultural song,5,11,11,0,2,8,11,11,11,8,0,7,11,11,11,2,11,0,3,8,8,0,8,11,8,11,0,11,11,5,0,2,4,11,5,0,2
Monghosan,T5422R30,Headhunting song,4,3,4,2,5,8,0,2,2,0,0,7,6,3,11,5,11,0,11,8,5,11,8,11,8,11,0,7,11,5,0,2,6,5,5,2,0
Dayung,T5422R31,Healing song,10,10,10,8,11,11,8,11,11,8,1,11,9,11,0,2,8,0,11,8,5,11,8,7,8,3,0,7,11,5,0,2,6,5,5,2,2
Banta Banta; Bendera Lambai Lambai,T5422R39,Drinking song,6,11,11,0,5,8,11,11,11,11,6,7,11,11,0,11,8,0,11,2,2,4,2,9,8,7,0,7,5,0,0,2,4,5,5,2,8
Tandadow Dadow Di Urai,T5422R40,Lullaby,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,1,11,0,11,2,2,11,2,3,8,3,0,3,5,5,0,5,4,5,8,2,2
Sispan Banking,T5422R41,"",10,4,10,8,11,11,0,11,11,11,0,11,6,11,0,1,8,1,11,2,2,11,2,7,8,11,3,7,5,0,0,8,4,5,2,2,2
Kalignatu,T5422R42,Pantun,6,11,11,0,5,5,11,11,11,11,6,9,11,11,3,1,2,0,3,8,5,9,5,3,5,3,0,7,0,0,0,2,6,8,8,5,5
Kalignatu,T45000,Pantun,4,11,11,2,8,8,11,11,11,11,1,7,11,11,0,1,11,1,11,2,0,11,5,7,5,11,0,7,5,5,0,2,6,8,8,2,5
Kulimbang Batu,T5422R43,Party song,6,11,11,5,5,5,11,11,11,11,6,9,11,11,3,6,2,11,11,5,2,11,2,3,5,3,0,3,0,5,0,2,6,8,8,5,5
Mantisan ,T5422R44,Pantun; dance song,6,3,6,0,2,2,5,2,5,8,6,9,9,9,0,1,2,0,11,8,5,9,5,3,2,0,0,3,0,0,0,5,6,11,8,5,5
Adindoi Sh Hati,T5422R45,Pantun; topical song; improvised song,4,3,6,5,5,2,5,0,5,11,6,9,9,9,3,7,5,7,11,5,2,11,2,3,2,3,0,0,0,0,0,5,6,5,8,5,8
Hepri,T5424R38,"",4,10,6,0,2,5,5,8,5,5,1,7,6,9,0,11,11,11,11,8,2,6,5,3,0,11,7,11,5,11,0,2,2,2,8,11,5
Njearan Lutrije,T5424R37,"",4,11,11,0,2,5,11,11,11,11,0,9,11,11,0,7,11,7,11,8,8,6,11,9,0,11,0,11,11,11,5,8,9,0,8,8,2
Walwatar Ewaf,T5424R39,Place of origin song; historical song,4,10,6,5,8,5,5,8,5,8,3,9,3,9,11,7,11,1,11,8,5,11,5,7,2,0,0,11,11,5,0,5,6,11,11,8,8
Jirjari,T5422R32,Chant,4,3,6,5,8,8,5,5,2,11,0,9,6,9,3,7,5,4,11,8,2,11,8,3,0,11,0,11,11,11,0,8,11,8,8,5,5
Healing Ceremony Song,T5457R03,Healing song; ceremonial song,0,9,6,0,5,0,5,2,2,2,1,0,9,9,0,0,2,1,8,5,2,0,0,7,0,3,0,11,11,0,5,11,0,8,5,8,2
Ilocano Song,T5425R04,"",10,11,11,8,11,11,11,11,11,11,0,11,11,11,7,11,11,11,11,5,8,11,11,11,5,11,0,11,11,11,11,2,9,11,11,8,11
Lindugan,T5422R47,Love song,10,11,11,8,11,11,11,11,11,11,0,11,11,11,3,11,11,11,3,2,0,11,2,9,5,11,0,7,11,11,0,5,4,8,0,5,8
Mourning Song; Lullaby For the Dead,T5422R48,Mourning song; for the dead,10,11,11,8,11,11,11,11,11,11,0,11,11,11,3,11,11,11,8,5,2,11,5,9,5,11,0,7,11,11,5,5,4,0,0,5,8
PanIayisan; Ambahan ,T5422R17,Courtship song; chant,8,4,10,8,11,11,8,11,11,2,0,11,0,11,3,11,11,11,8,5,8,11,2,1,11,11,11,7,11,5,5,5,6,11,0,2,5
Sulu Song 1,T5425R03,"",10,10,10,8,11,11,8,11,11,11,6,11,6,11,3,2,0,0,3,8,5,11,0,3,5,0,0,7,0,0,0,5,6,5,0,5,8
Gabang Song,T5425R02,"",10,4,10,8,11,11,8,11,11,11,0,11,6,11,3,2,0,0,3,8,5,11,2,3,5,0,0,11,11,11,0,5,9,8,2,5,11
Sabrisal,T5422R34,Initiation rite; ceremonial song; boys' song,4,11,11,5,0,2,11,11,11,2,0,9,11,11,3,2,8,1,3,5,0,11,8,9,2,11,0,3,5,0,11,2,2,0,5,8,0
Marasitomal,T5424R04m,Hunting song; festival song; wordless singing,6,11,11,0,0,5,11,11,11,0,9,9,11,11,3,0,11,0,11,5,2,4,0,11,5,11,0,11,0,0,0,2,4,2,0,0,0
Taroko,T5629R11,Wedding song; welcome song,0,11,11,0,0,0,11,11,11,2,6,9,11,11,3,0,0,0,11,8,2,0,2,3,5,0,0,7,0,0,11,5,0,0,2,2,2
Corroboree du kangourou,PENDING,Chant; corroboree song; ceremonial song,5,9,6,0,8,8,5,2,2,5,1,7,9,9,7,1,8,0,11,8,2,4,0,1,2,0,0,0,0,5,0,2,6,5,5,5,0
Chant rituel du kangourou,PENDING,Shaman song; ritual song; animal song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,1,8,1,11,8,8,11,2,7,8,0,0,7,0,5,0,0,4,8,8,2,5
Ewa; Atetsua-Aroba,T5430R65,Ewa; aroba; dance song,6,10,10,5,8,5,8,11,11,11,1,9,9,11,3,1,8,0,11,8,2,11,5,3,2,0,0,7,0,5,0,2,9,11,8,2,2
Vio Song,T5431R22,"",10,10,10,8,11,11,8,11,11,8,1,11,9,11,3,6,8,4,11,8,5,11,2,7,8,0,0,3,0,0,0,5,4,5,2,2,8
